feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,295.4157566309283,9.503956371874326,131.70834857122804,3.1750735859813495,30.5,63.79105267710742,84.0360552913758,55.0,98.50174599030721,16.591783962685252,55.0,55.0,0,0,4.544,-118.34400000000001,3.495,68,beauce_5_sa_068
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,293.57664740129263,22.276638842329085,175.0,30.5,30.5,72.47739892195047,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.4799999999999995,-116.374,3.5650000000000004,69,beauce_5_sa_069
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,287.2485980740555,15.5,180.28282203173617,27.08989730428479,18.10792802470157,39.10487163380645,25.69017282547744,74.61188970327557,18.476072406507413,55.0,43.388338209935995,20.13558860522523,0,0,2.932,-191.25,4.49,70,beauce_5_sa_070
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,293.2455259326458,9.886519206964024,175.0,30.5,30.5,10.450836516298626,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.536,-117.81400000000001,3.5,71,beauce_5_sa_071
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.1182838658854,15.5,175.0,30.5,30.5,170.95679783165565,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.272,-117.18599999999999,3.5650000000000004,72,beauce_5_sa_072
3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,290.8728145674672,15.5,112.19422717867971,39.33362191163322,26.04597761455763,15.60241738098022,13.184180400096846,66.98088956600073,62.5301392477011,77.45680557895463,87.39005617673939,47.31645299559051,0,0,4.529999999999999,-118.404,3.505,73,beauce_5_sa_073
1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,282.0359310016884,4.044586982060651,133.16885699498846,30.5,30.5,41.54621817554352,44.14285757137871,25.57214465051711,55.0,55.0,55.0,55.0,0,0,3.806,-116.234,3.58,74,beauce_5_sa_074
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,282.33563891857153,12.29149828914184,175.0,30.5,30.5,104.42078877623348,55.0,55.0,55.0,55.0,55.0,55.0,0,0,3.6980000000000004,-114.826,3.635,75,beauce_5_sa_075
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,274.63642219112296,10.138441123109693,175.0,30.5,30.5,162.4151728429233,55.0,55.0,55.0,55.0,55.0,55.0,0,0,3.304,-115.08800000000001,3.745,76,beauce_5_sa_076
1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,262.29135251500963,21.38591107855597,135.1736947587915,30.5,30.5,61.84780738623485,30.27435286348413,36.84890634186441,55.0,55.0,55.0,55.0,0,0,2.59,-125.22200000000001,4.04,77,beauce_5_sa_077
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.58780597573957,29.4537750853769,247.47178960490638,30.5,30.5,139.8309246229615,99.67227174091802,55.0,55.0,55.0,55.0,55.0,0,0,3.3259999999999996,-300.842,4.529999999999999,78,beauce_5_sa_078
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,304.6319593358905,13.11380588266095,137.56975527779946,30.5,30.5,36.9391044117413,62.678759651447564,54.37179119320026,55.0,55.0,55.0,55.0,0,0,4.546,-118.38799999999999,3.6100000000000003,79,beauce_5_sa_079
3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,262.058981452891,5.152023720066899,110.79998517794579,40.23962892555499,8.523174644676654,155.0817977951509,18.228971062874166,55.0,42.00694894898633,55.0,86.90172637352634,55.0,0,0,2.522,-266.22999999999996,4.535,80,beauce_5_sa_080
